"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
12433,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","加茂","阿波加茂","3",7000000,"180000","","130",54000,"ほぼ長方形","11.0","","","","","","南","私道",5.5,"都市計画区域外",,,"平成22年第２四半期","",""
12434,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","中郷町","中田(徳島)","9",4000000,"","","170",,"不整形","16.0","135","平成6年","木造","住宅","","北","市道",5.5,"第１種住居地域",60,200,"平成23年第１四半期","","調停・競売等"
12435,"農地","","36203","徳島県","小松島市","中郷町","","",4000000,"","","1000",,"","","","","","","","","",,"",,,"平成23年第３四半期","",""
12436,"農地","","36203","徳島県","小松島市","新居見町","","",13000000,"","","930",,"","","","","","","","","",,"",,,"平成23年第１四半期","",""
12437,"宅地(土地)","住宅地","36203","徳島県","小松島市","日開野町","中田(徳島)","18",4800000,"110000","","150",32000,"ほぼ長方形","11.0","","","","","","東","私道",6.0,"第１種中高層住居専用地域",60,200,"平成23年第１四半期","",""
12438,"宅地(土地)","住宅地","36203","徳島県","小松島市","日開野町","南小松島","11",9800000,"85000","","380",26000,"ほぼ整形","","","","","","","南","私道",4.0,"第１種低層住居専用地域",50,80,"平成23年第１四半期","","私道を含む取引"
12439,"宅地(土地)","住宅地","36203","徳島県","小松島市","日開野町","南小松島","9",4800000,"150000","","105",46000,"不整形","5.3","","","","","","北","道路",6.0,"第１種住居地域",60,200,"平成23年第１四半期","",""
12440,"宅地(土地)","商業地","36203","徳島県","小松島市","堀川町","南小松島","3",12000000,"280000","","140",85000,"ほぼ台形","10.5","","","","","","南","県道",11.0,"第２種住居地域",60,200,"平成23年第２四半期","",""
12441,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","堀川町","南小松島","7",8000000,"","","210",,"ほぼ整形","8.0","130","平成7年","木造","住宅","","北","市道",3.5,"第１種住居地域",60,200,"平成23年第２四半期","",""
12442,"宅地(土地)","住宅地","36203","徳島県","小松島市","前原町","中田(徳島)","15",29000000,"160000","","600",49000,"不整形","35.0","","","","","","南東","市道",5.0,"市街化調整区域",70,200,"平成23年第３四半期","",""
12443,"宅地(土地)","住宅地","36203","徳島県","小松島市","前原町","中田(徳島)","9",16000000,"190000","","270",57000,"ほぼ長方形","15.4","","","","","","南東","市道",4.3,"市街化調整区域",,,"平成23年第３四半期","",""
12444,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","前原町","中田(徳島)","13",8700000,"","","160",,"ほぼ長方形","12.2","","","","","","北東","市道",4.3,"市街化調整区域",,,"平成23年第２四半期","",""
12445,"宅地(土地)","住宅地","36203","徳島県","小松島市","前原町","中田(徳島)","19",4800000,"190000","","85",56000,"ほぼ長方形","11.0","","","","","","東","私道",4.5,"市街化調整区域",70,200,"平成23年第２四半期","",""
12446,"宅地(土地)","住宅地","36203","徳島県","小松島市","前原町","中田(徳島)","21",22000000,"180000","","410",53000,"ほぼ長方形","18.5","","","","","","南西","市道",4.5,"市街化調整区域",,,"平成23年第２四半期","",""
12447,"宅地(土地)","住宅地","36203","徳島県","小松島市","前原町","中田(徳島)","15",26000000,"170000","","500",51000,"ほぼ長方形","14.0","","","","","","南東","道路",2.8,"市街化調整区域",70,200,"平成23年第１四半期","",""
12448,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","前原町","中田(徳島)","16",14000000,"","","220",,"不整形","20.0","130","平成19年","木造","住宅","","接面道路無","",,"市街化調整区域",70,200,"平成23年第１四半期","",""
12449,"宅地(土地)","住宅地","36203","徳島県","小松島市","前原町","中田(徳島)","17",18000000,"160000","","370",48000,"不整形","","","","","","","北西","市道",4.0,"市街化調整区域",70,200,"平成23年第１四半期","",""
12450,"農地","","36203","徳島県","小松島市","前原町","","",3800000,"","","230",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12451,"農地","","36203","徳島県","小松島市","前原町","","",5900000,"","","370",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12452,"農地","","36203","徳島県","小松島市","前原町","","",2200000,"","","135",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12453,"農地","","36203","徳島県","小松島市","前原町","","",63000000,"","","730",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12454,"農地","","36203","徳島県","小松島市","前原町","","",32000000,"","","1800",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12455,"農地","","36203","徳島県","小松島市","前原町","","",4900000,"","","190",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12456,"農地","","36203","徳島県","小松島市","前原町","","",14000000,"","","850",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12457,"農地","","36203","徳島県","小松島市","前原町","","",4700000,"","","280",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12458,"農地","","36203","徳島県","小松島市","前原町","","",9600000,"","","540",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12459,"農地","","36203","徳島県","小松島市","前原町","","",10000000,"","","650",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12460,"農地","","36203","徳島県","小松島市","前原町","","",4800000,"","","310",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12461,"農地","","36203","徳島県","小松島市","前原町","","",3100000,"","","185",,"","","","","","","","","",,"",,,"平成23年第１四半期","",""
12462,"農地","","36203","徳島県","小松島市","前原町","","",16000000,"","","970",,"","","","","","","","","",,"",,,"平成23年第１四半期","",""
12463,"林地","","36489","徳島県","三好郡東みよし町","加茂","","",8000000,"","","4900",,"","","","","","","","","",,"",,,"平成22年第２四半期","",""
12464,"農地","","36489","徳島県","三好郡東みよし町","加茂","","",890000,"","","125",,"","","","","","","","","",,"",,,"平成22年第２四半期","",""
12465,"農地","","36489","徳島県","三好郡東みよし町","加茂","","",740000,"","","105",,"","","","","","","","","",,"",,,"平成22年第２四半期","",""
12466,"宅地(土地)","商業地","36203","徳島県","小松島市","松島町","南小松島","6",50000000,"330000","","500",100000,"ほぼ整形","20.5","","","","","","東","県道",16.0,"商業地域",80,400,"平成23年第２四半期","",""
12467,"林地","","36489","徳島県","三好郡東みよし町","加茂","","",150000,"","","490",,"","","","","","","","","",,"",,,"平成22年第１四半期","",""
12468,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","中庄","江口","11",10000000,"100000","","340",31000,"不整形","32.0","","","","","","北西","町道",3.3,"都市計画区域外",,,"平成22年第２四半期","",""
12469,"宅地(土地)","住宅地","36489","徳島県","三好郡東みよし町","中庄","江口","11",3800000,"110000","","115",34000,"ほぼ整形","","","","","","","北","道路",10.0,"都市計画区域外",,,"平成22年第２四半期","",""
12470,"宅地(土地)","商業地","36203","徳島県","小松島市","横須町","南小松島","10",8700000,"54000","","530",16000,"ほぼ台形","8.0","","","","","","北東","県道",11.5,"第２種住居地域",60,200,"平成23年第２四半期","",""
